2009-01-01,19516
2009-02-01,17916
2009-03-01,18426
2009-04-01,19952
2009-05-01,15002
2009-06-01,17439
2009-07-01,19376
2009-08-01,18821
2009-09-01,15484
2009-10-01,15392
2009-11-01,16229
2009-12-01,18010
2010-02-01,16194
2010-03-01,16185
2010-04-01,18862
2010-05-01,17793
2010-06-01,18137
2010-07-01,17764
2010-08-01,19614
2010-09-01,19670
2010-10-01,16335
2010-11-01,16145
2010-12-01,15459
2011-01-01,18881
2011-02-01,17229
2011-03-01,18464
2011-04-01,17195
2011-05-01,15955
2011-06-01,15425
2011-07-01,17693
2011-08-01,15450
2011-09-01,17081
2011-10-01,18801
2011-11-01,15611
2011-12-01,17485
2012-01-01,15087
2012-02-01,18611
2012-03-01,16945
2012-04-01,16225
2012-05-01,19318
2012-06-01,15713
2012-07-01,19720
2012-08-01,17276
2013-09-01,16761
2012-10-01,18822
2012-11-01,19113
2012-12-01,18923
2013-01-01,18882
2013-02-01,18776
2013-03-01,18946
2013-04-01,15575
2013-05-01,19335
2013-06-01,17753
2013-07-01,16351
2013-08-01,17015
2013-09-01,15853
2013-10-01,15672
2013-11-01,19461
2013-12-01,17942
2014-01-01,18818
2014-02-01,17865
2014-03-01,16957
2014-04-01,19304
2014-05-01,19955
2014-06-01,15484
2014-07-01,17986
2014-08-01,18958
2014-09-01,20000
2014-10-01,19464
2014-11-01,15125
2014-12-01,19218
2015-01-01,19341
2015-02-01,15388
2015-03-01,17715
2015-04-01,17026
2015-05-01,17831
2015-06-01,19056
2015-07-01,15733
2015-08-01,17212
2015-09-01,19562
2015-10-01,16852
2015-11-01,19734
2015-12-01,16379
2016-01-01,16572
2016-02-01,19833
2016-03-01,16374
2016-04-01,18290
2016-05-01,19461
2016-06-01,17653
2016-07-01,18567
2016-08-01,19392
2016-09-01,18285
2016-10-01,16121
2016-11-01,15231
2016-12-01,17565
